ACCT1014,Management Accounting Systems
ACCT1022,Small Business and the Accountant
ACCT1046,Introductory Accounting
ACCT1048,Corporate Accounting
ACCT1056,Auditing 1
ACCT1060,Management Acounting and Business
ACCT1064,Cost Management and Applications
ACCT2033,Financial Accounting
BAF1002,Financial Markets
BAF1008,Business Finance
BAF1018,International Finance
BIOL2034,Bioinformatics
BUSM1202,Managing Change
BUSM1222,International Management
BUSM1311,The Entrepreneurial Process
BUSM1313,Finance for Entrepreneurs
BUSM1314,Entrepreneurial Ventures 1
BUSM1316,Entrepreneurship And New Ventures
BUSM1317,Financing Entrepreneurial Ventures
BUSM1321,Entrepreneurship In Organisations
BUSM1323,The Regulatory Environment
BUSM1327,Entrepreneurial Field Study
BUSM3115,Ethics and Governance
BUSM3118,History of Management Thought
BUSM3123,Organisational Theory & Design
BUSM3125,Strategic and International Management
COMM1000,Narrative for Multimedia
COMM1033,Australian Cinema
COMM1086,Mass Media in Asia
COMM1161,Introduction to Public Relations
COMM2072,Reading Media Texts
COMM2112,Theories of Communication and Persuasion
COMM2113,The Media: Australian and Global
COMM2138,Modern Asia
COMM2142,PR Practise and Writing
COMM2147,Professional Writing
COMM2302,Media Cultures 2
COMM2305,Sound Design
COMM2336,Asian Cybercultures
COSC1008,Video Production For Multimedia
COSC1009,Design for Interactive Media 1
COSC1010,Electronic Imaging & Design
COSC1011,Design for Interactive Media 2
COSC1073,Programming 1 (PP1A)
COSC1076,Programming 2 (PP1B)
COSC1078,Intro to Info Technology
COSC1082,Computer Organisation (Computer Systems 1)
COSC1105,Computing Theory
COSC1111,Data Comm & Net-centric Comp (Foun. Data Comms&Networks)
COSC1125,Artificial Intelligence (Intro to Artificial Intelligence)
COSC1131,Unix Systems Admin (Linux)
COSC1163,Intelligent Agents & Agent Sys
COSC1165,Intelligent Web Systems
COSC1170,Foundations Distributed Comp
COSC1186,Interactive 3D Graphics & Animation
COSC1195,Intro to Distributed Systems
COSC1283,Programming Techniques (PG)
COSC1284,Programming Techniques (PP2A & PT)
COSC1285,Algorithms and Analysis
COSC1288,Java for C Programmers (PP2J)
COSC1295,Java for Programmers
COSC1300,Web Servers and Web Technology
COSC1321,Introduction to Programming (PG) (Computing Fundamentals)
COSC1519,Introduction to Programming (Computing Fundamentals)
COSC2061,Data Comm & Net-centric Comp (PG)(Foun. Data Comms&Networks)
COSC2104,Document Markup Languages
COSC2110,Data Warehousing & Data Mining
COSC2148,Research Methods
COSC2276,Web Development Technologies
COSC2278,Web Services
COSC2303,Mobile & Wireless Computing
COSC2309,Mobile Application Development
COSC2346,Multimedia Project: Computer Sci
COSC2348,Games Studio 1
COSC2350,Interactive Digital Media Project A
COSC2385,CCNA Introduction
COSC2391,Programming 3 (Client Server Architectures)
COSC2392,Web/Internet Project 1
COSC2406,Database Systems (File Structures & Database Systems)
COSC2410,Software Eng Project (Pt A)
COSC2413,Web Programming
COSC2424,Windows System Admin
ECON1010,Macroeconomics 1
ECON1020,Prices and Market
EEET2253,Transmission Lines & Optical Fibres
EEET1089,Internet Comm Engineering
EEET1183,Software Systems Engineering 2
EEET1234,Intro Simulation & Virtual Envir
EEET1316,Electrical Systems
EEET2092,Information Systems Eng 1
EEET2096,Computer Systems Engineering 3
EEET2098,Electronic Engineering 3
EEET2115,Communication Engineering 3
EEET2161,Microprocessor Systems 1
EEET2162,Advanced Digital Design 1
EEET2241,Multimedia Engineering 1
EEET2243,Multimedia Project: Engineering
EEET2247,Enterprise Engineering
EEET2256,Intro to Embedded Systems
EEET2258,Engineering Design 3A
EEET2267,Engineering Design 4A
ENV1051,Environmental Economics
GRAP2169,Imaging & Animation
GRAP2175,Introduction to Graphic Design
GRAP2318,Multimedia Project: Design
GRAP2326,3D Character: Create & Animate & Special Effects
HUSO1081,Asian Economic Development
INTE1063,Comp Sys Security & Control
INTE1070,Secure Electronic Commerce
INTE1113,Web3D
INTE1125,Cryptography and Security
INTE2047,E-Commerce Technology I
INTE2090,Coding for Reliable Comms
ISYS1047,Decision Support Systems
ISYS1049,Usability Analysis (UG)
ISYS1051,Business Analysis
ISYS1055,Database Concepts (PG) (Intro to Database Systems)
ISYS1057,Database Concepts (Intro to Database Systems)
ISYS1083,Object Oriented Software Design
ISYS1088,Systems Architecture
ISYS1117,Software Eng Fundamentals (PG) (Software Eng Analysis & Des)
ISYS1118,Software Eng Fundamentals (Software Eng Analysis & Des)
ISYS2040,Usability Analysis
ISYS2051,Professional Practice for Information Systems
ISYS2067,Business Solutions Using Spreadsheet Models
ISYS2068,Computerised Accounting Sys
ISYS2377,Enterprise Architecture
JUST1016,Commercial Law
JUST1028,Company Law
JUST1031,Taxation Law 1
JUST1046,Taxation Law 2
MATH1074,Mathematics for Computing
MATH1276,Statistical Computing
MATH1280,Statistical Analysis 1
MATH1288,Operations Research Methods 1A
MATH1300,Analysis Of Medical Data
MATH2140,Linear Algebra & Vector Calcul
MATH2148,Algebra for Info Security
MATH2160,Engineering Mathematics A
MATH2161,Mathematics for ECE
MKTG1001,Marketing for Entrepreneurs
MKTG1025,Marketing Principles
MKTG1050,Buyer Behaviour
MKTG1087,Retailing
MKTG1208,Introduction to Advertising
OMGT1044,Services Operations Management
OMGT1053,Advanced Supply Chain Management
OMGT1070,Purchasing and Materials Management
OMGT1082,Business Logistics
OMGT2127,International Business Strategy
PHYS2089,Physics 1/Physics 1 Adv
VART2964,Digital Painting, Lighting and Printing
