3DIM,3-D Digital Imaging and Modelling
3DPVT,International Symposium on 3D Data Processing Visualization and Transmission
3DUI,IEEE Symposium on 3D User Interfaces
3G,International Conference on 3G Mobile Communication Technologies
AAAC,Symposium of Asian Association for Algorithms and Computation
AAAI,National Conference of the American Association for Artificial Intelligence
AACE,American Association of Cost Engineers Annual Meeting
AAIM,Conference on Algorithmic Aspects in Information and Management
AAMAS,International Conference on Autonomous Agents and Multiagent Systems
AASA,Association of Architecture Schools of Australasia Annual Conference (AASA)
ACAC,Australasian Computer Architecture Conference
ACADIA,Association for Computer Aided Design in Architecture (ACADIA) Conference
ACAL,Australian Conference on Artificial Life
ACC,Applied Computing Conference
ACCMCC,Australasian Conference on Combinatorial Mathematics and Combinatorial Computing
ACCV,Asian Conference on Computer Vision
ACE,Australasian Conference on Computer Science Education
ACEC,Australasian Computers in Education Conference
ACG,Workshop on Algorithms, Combinatorics, and Geometry
ACHI,International Conference on Advances in Computer-Human Interactions
ACID,Algorithms and Complexity in Durham
ACII,International Conference on Affective Computing and Intelligent
ACIS,Australasian Conference on Information Systems
ACISP,Australasian Conference on Information Security and Privacy
ACIVS,Advanced Concepts for Intelligent Vision Systems
ACKMIDS,Australian Conference for Knowledge Management and Intelligent Decision Support
ACL,Association of Computational Linguistics
ACMIMC,ACM SIGCOMM Internet Measurement Conference
ACMSIGMISCPR,ACM-SIGMIS CPR Conference
ACMA,Australasian Computer Music Conference
ACMMM,ACM Multimedia
ACNN,Australian Conference on Neural Networks
ACNS,International Conference on Applied Cryptography and Network Security
ACOSM,Australian Conference on Software Metrics
ACP4IS,Workshop on Aspects, Components, and Patterns for Infrastructure Software
ACRA,Australasian Conference on Robotics and Automation
ACS,Australian Supercomputing Conference
ACSA,Association of Collegiate Schools of Architecture (ACSA) Annual Meeting
ACSAC,Annual Computer Security Applications Conference
ACSC,Australasian Computer Science Conference
ACSD,Application of Concurrency to System Design
ACSSC,Asilomar Conference on Signals, Systems and Computing
ADBIS,Symposium on Advances in DB and Information Systems
ADC,Australasian Database Conference
AdCom,International Conference on Advanced Computing and Communications
ADMA,International Conference on Advanced Data Mining and Applications
ADMI,International Workshop on Agents and Data Mining Interaction
ADTI,International Symposium on Advanced DB Technologies and Integration
ADVIS,Advances in Information Systems
AEC,International Conference on Innovation in Architecture, Engineering and Construction
AFAANZ,Accounting and Finance Association of Australia and New Zealand Conference
AFETE,Asia-Pacific Forum on Engineering and Technology Education
AFIPS,American Federation of Information Processing Societies
AGDC,Australian Game Developers Conference
Agile,Conference on Agile Software Development
AHRC,Australasian Housing Researchers Conference
AI,Australasian Joint Conference on Artificial Intelligence
AI*IA,Congress of the Italian Assoc for AI
AIBS,Australian Institute of Building Surveyors International Refereed Conference
AICCSA,ACS/IEEE International Conference on Computer Systems and Applications
AICE,Australian Institute of Computer Ethics Conference
AIIM,Artificial Intelligence in Medicine
AIKM,Artificial Intelligence in Knowledge Management
AIME,Artificial Intelligence in Medicine in Europe
AiML,Advances in Modal Logic
AIPR,International Conference on Artificial Intelligence and Pattern Recognition
AIRS,Asia Information Retrieval Symposium
AIS,Advances in Intelligent Systems
AISAT,International Conference on Artificial Intelligence in Science and Technology
AISC,Australasian Information Security Conference
AISP,Australasia Conference on Information Security and Privacy
AISTA,International Conference on Advances in Intelligent Systems: Theory and Applications
AISTATS,International Conference on Artificial Intelligence and Statistics
AISW-PET,Australasian Information Security Workshop 2007 (Privacy Enhancing Technologies)
AITC,Advances in the Theory of Computing
AJWIES,Australia-Japan Joint Workshop on Intelligent and Evolutionary Systems
AKAW,Australian Knowledge Acquisition Workshop
ALENEX,Workshop on Algorithm Engineering and Experiments
Algosensors,International Workshop on Algorithmic Aspects of Wireless Sensor Networks
ALICE,SIAM Workshop on Algorithms for Listing, Counting, and Enumeration
ALIFE,International Conference on the Simulation and Synthesis of Living Systems
ALP,International Conference on Algebraic and Logic Programming
ALPIT,International Conference on Advanced Language Processing and Web Information Technology
ALT,Algorithmic Learning Theory
AMAST,Algebraic Methodology and Software Technology
AmI,European Conference on Ambient Intelligence
AMIGE,IEEE Symposium on Advanced Management of Information for Globalized Enterprises
Aml.d,Ambient Intelligence Developments
AMOC,Asian International Mobile Computing Conference
AMS,Asia International Conference on Modelling and Simulation
AMTA,Conference of the Association for Machine Translation in the Americas
ANALCO,Workshop on Analytic Algorithms and Combinatorics
ANNES,Conference on Artificial Neural Networks and Expert systems
ANNIE,Artificial Neural Networks in Engineering Conference
ANSS,Annual Simulation Symposium
ANTS,International Workshop on Ant Colony
ANZAM,Australian and New Zealand Academy of Management Conference
ANZAPS,Australian and New Zealand Association of Planning schools
ANZAScA,Australian and New Zealand Architectural Science Association (ANZAScA) Annual Conference
ANZIIS,Australian and New Zealand Intelligent Information Systems Conference
ANZMAC,Australian and New Zealand Marketing Academy Conference
ANZMODS,The Modelling and Simulation Society of Australia and New Zealand Meeting
AO-Asia,Aspect-Orientation Asia
AofA,Conference on Analysis of Algorithms
AOIR,Internet Research
AOIS,Agent-Oriented Information Systems Workshop
AOM,Workshop on Aspect-Oriented Modelling
AOSD,Aspect-Oriented Software Development
AOSE,Agent-Oriented Software Engineering Workshop
APBC,Asia-Pacific Bioinformatics Conference
APCC,Asia Pacific Conference on Communications
APCCM,Asia-Pacific Conference on Conceptual Modelling
APCHI,Asia-Pacific Computer Human Interaction Conference
